Annotation,Conditions,Score,MinConfidence
MC PREPAID VOYAGE,P1:3 AND PF:VeryLow AND PS:Neutral AND PV:Medium,70.74,90
MC PREPAID VOYAGE,AC:2 AND P1:5 AND PV:High AND RC:2,70.73,90
MC PREPAID VOYAGE,AC:1 AND P1:1 AND PV:Low AND RC:1,70.73,90
MC PREPAID VOYAGE,P1:4 AND PV:VeryLow AND SA:AUTRES AND SX:F,70.73,90
NATIONAL CLIENTELLE,AC:3 AND PV:VeryLow AND SA:PECHE,70.77,90
NATIONAL CLIENTELLE,AC:3 AND PF:Low AND SA:PECHE,70.75,90
NATIONAL CLIENTELLE,PF:Medium AND PV:VeryLow AND SA:PECHE,70.74,90
NATIONAL CLIENTELLE,AC:4 AND EM:N AND PF:Low AND PS:Neutral,70.74,90
NATIONAL CLIENTELLE,PF:High AND PV:Low AND SA:TRANSPORTS AND SX:M,70.74,90
NATIONAL CLIENTELLE,PS:Unstable AND SA:AGRICULTURE,70.73,90
NATIONAL CLIENTELLE,AC:5 AND P1:2 AND SX:F,70.73,90
NATIONAL CLIENTELLE,P2:daily AND PV:Medium AND RC:1 AND SA:COMMERCE GENERAL,70.73,90
NATIONAL CLIENTELLE,AC:4 AND P1:2 AND PV:Low AND SA:COMMERCE GENERAL,70.70,90
Mor. Tamouil Hajyat,PF:VeryLow AND PS:HighlyUnstable AND RC:4,70.76,90
Mor. Tamouil Hajyat,PF:Medium AND PS:HighlyUnstable AND PV:Low AND SA:SANTE,70.76,90
Mor. Tamouil Hajyat,AC:4 AND EM:M AND P2:weekly AND PV:Medium,70.75,90
Mor. Tamouil Hajyat,PV:Low AND RC:1 AND SA:TRANSPORTS,70.74,90
Mor. Tamouil Hajyat,EM:M AND PF:VeryLow AND RC:4 AND SA:SERVICES,70.72,90
Mor. Tamouil Hajyat,EM:M AND PS:HighlyUnstable AND RC:1 AND SA:SERVICES,70.71,90
Mor. Tamouil Hajyat,EM:M AND P1:2 AND PV:Medium AND RC:4,70.71,90
Mor. Tamouil Hajyat,PF:Low AND PS:HighlyUnstable AND PV:Low AND RC:3,70.69,90
PRODUIT GOLD,AC:2 AND EM:M AND PV:VeryHigh AND SA:TRANSPORTS,70.73,90
PRODUIT GOLD,AC:4 AND P1:4 AND RC:2 AND SA:AUTRES,70.73,90
